"ID","Cond","field","lab","time","b_copies_per_g_soil","f_copies_per_g_soil","B_F_ratio","treat","f_mean_constant_w","b_mean_constant_w","f_proportional_diff","b_proportional_diff","mean_BF_ratio","proportional_diff_BF","log_f_copies_per_g_soil","log_b_copies_per_g_soil"
"1","Current constant_w 2","Ambient","constant_w","2",334129581.796129,46878116.2415285,7.12762390183524,"a) ambient wet",21065360.9187346,229852155.85233,,,15.3666720226595,,17.6630615198644,19.6270394451498
"10","Current constant_w 3","Ambient","constant_w","3",238962371.370298,20525830.2374496,11.6420319473513,"a) ambient wet",27353698.7942388,314724664.268767,,,12.5588229415054,,16.8371946625431,19.2918166555352
"101","Future cycle_drw 1","Future","cycle_drw","1",248272321.279821,17829420.920144,13.9248673522155,"d) future d/r",22152440.5009686,292251828.018313,-0.195148682630954,-0.150484967148727,13.3140455920578,0.0458779982338446,16.6963605114737,19.3300367713684
"105","Future cycle_drw 3","Future","cycle_drw","3",329532407.455762,18824776.5591043,17.5052493410016,"d) future d/r",14546123.7415989,332410080.235092,0.294143848458355,-0.00865699613349536,30.465591462124,-0.425409174715524,16.7506844622095,19.6131852605022
"107","Future constant_w 2","Future","constant_w","2",218755041.786825,27954111.5491712,7.82550507470201,"c) future wet",36739730.6536921,387205201.205491,,,10.0003152051034,,17.1460748504738,19.2034631311047
"112","Future constant_w 4","Future","constant_w","4",472873517.026436,16274449.8715418,29.0561905784184,"c) future wet",37188901.0727335,429337336.123876,,,15.4167399775254,,16.6051069434318,19.9743385048331
"12","Current cycle_drw 3","Ambient","cycle_drw","3",244745326.853321,12704480.0015817,19.2644899140185,"b) ambient d/r",27353698.7942388,314724664.268767,-0.535548004050643,-0.222350979634965,12.5588229415054,0.533940720698572,16.3574652452551,19.3157287456413
"120","Future cycle_drw 3","Future","cycle_drw","3",235104219.548373,14628625.0222571,16.071518628078,"d) future d/r",14546123.7415989,332410080.235092,0.00567170210591762,-0.292728369181525,30.465591462124,-0.472469830495208,16.4984907851385,19.2755394612368
"124","Future constant_w 4","Future","constant_w","4",461314084.776745,55365973.719304,8.33208654679368,"c) future wet",37188901.0727335,429337336.123876,,,15.4167399775254,,17.8294757702315,19.9495896808535
"125","Future cycle_drw 3","Future","cycle_drw","3",402589802.483851,15852281.5696455,25.3963317971052,"d) future d/r",14546123.7415989,332410080.235092,0.0897942194944462,0.21112392921155,30.465591462124,-0.166392950923705,16.5788239955398,19.8134287416983
"127","Future cycle_drw 2","Future","cycle_drw","2",322268558.854754,35869689.0210326,8.98442578260962,"d) future d/r",36739730.6536921,387205201.205491,-0.0236812196817804,-0.167706017761561,10.0003152051034,-0.101585740215001,17.3954031798593,19.5908957896063
"129","Future constant_w 3","Future","constant_w","3",184597314.437055,3648658.9890836,50.5931946474995,"c) future wet",14546123.7415989,332410080.235092,,,30.465591462124,,15.1098702577996,19.0336873319156
"131","Future constant_w 1","Future","constant_w","1",186329211.263901,19347195.0776338,9.63081265869417,"c) future wet",22152440.5009686,292251828.018313,,,13.3140455920578,,16.7780580097045,19.0430256201882
"138","Future cycle_drw 2","Future","cycle_drw","2",311880213.226341,34528331.878272,9.03258849358436,"d) future d/r",36739730.6536921,387205201.205491,-0.0601909359724141,-0.194535062402674,10.0003152051034,-0.0967696209240657,17.3572907588529,19.5581297400862
"139","Future cycle_drw 4","Future","cycle_drw","4",486602631.382725,14978354.983676,32.4870542801958,"d) future d/r",37188901.0727335,429337336.123876,-0.597235880824186,0.133380655350984,15.4167399775254,1.10725836509895,16.5221167158495,20.0029583959907
"14","Current constant_w 3","Ambient","constant_w","3",402558144.152741,43498638.3844951,9.25449989019039,"a) ambient wet",27353698.7942388,314724664.268767,,,12.5588229415054,,17.5882401940632,19.8133501019122
"140","Future cycle_drw 1","Future","cycle_drw","1",85648337.2574975,10828376.1851218,7.90961966903016,"d) future d/r",22152440.5009686,292251828.018313,-0.511188115609727,-0.706936521703704,13.3140455920578,-0.405919138976925,16.197680670997,18.2657603693235
"143","Future cycle_drw 4","Future","cycle_drw","4",418939944.955448,45701940.8296132,9.1667867348861,"d) future d/r",37188901.0727335,429337336.123876,0.228913452974316,-0.0242173002289939,15.4167399775254,-0.405400444695216,17.637651323882,19.8532381381518
"144","Future cycle_drw 3","Future","cycle_drw","3",57952891.2042201,6661420.17483237,8.6997801794838,"d) future d/r",14546123.7415989,332410080.235092,-0.542048432065646,-0.82565844223727,30.465591462124,-0.714439150465873,15.7118432592486,17.8751410178639
"15","Current cycle_drw 4","Ambient","cycle_drw","4",415694828.713534,6958420.58192122,59.7398251254827,"b) ambient d/r",21799550.0577526,259315038.731335,-0.680799807175534,0.603049444209892,12.9208477187408,3.62352211138858,15.7554630786737,19.8454619641973
"17","Current cycle_drw 2","Ambient","cycle_drw","2",331054214.739185,16122373.0797966,20.5338391005254,"b) ambient d/r",21065360.9187346,229852155.85233,-0.234650042693641,0.440291971644041,15.3666720226595,0.336258044047957,16.5957184975948,19.6177927106819
